Valid. perplexity	Dropout 0.6	Dropout 0.7	Dropout 0.0	Dropout 0.3	Dropout 0.8
Training epoch 20	81.21	99.54	18.97	43.18	142.37
Validation epoch 20	84.62	94.6	60.58	66.92	130.02
Training epoch 21	80.6	95.67	25.37	46.28	140.53
Training epoch 21	82.48	97.22	26.32	46.88	136.2
Training epoch 21	84.28	99.78	27.39	48.93	136.71
Training epoch 21	84.25	99.37	27.24	49.06	137.01
Training epoch 21	79.51	95.82	23.17	44.23	136.29
Training epoch 21	81.85	97.47	24.81	46.48	137.09
Training epoch 21	84.34	99.83	26.38	48.43	137.47
Training epoch 21	83.72	98.43	26.01	47.92	135.72
Training epoch 21	80.84	95.81	25.33	46.76	131.21
Training epoch 21	84.02	101.18	22.27	45.16	143.26
Training epoch 21	82.98	101.03	19.16	42.18	147.5
Training epoch 21	83.28	101.69	20.33	43.94	147.61
Training epoch 21	83.38	97.97	24.16	47.17	137.25
Training epoch 21	83.86	100.89	22.71	46.31	141.94
Training epoch 21	79.35	95.4	20.15	42.69	137.06
Training epoch 21	79.9	95.12	22.54	44.94	134.15
Training epoch 21	84.2	100.02	23.53	47.77	140.67
Training epoch 21	85.77	100.68	23.59	48.27	140.3
Training epoch 21	83.95	98.76	23.47	47.8	137.07
Training epoch 21	85.45	100.49	23.25	48.37	138.09
Training epoch 21	81.62	98.34	18.96	43.11	142.26
Validation epoch 21	84.64	94.49	60.58	66.92	129.98
Training epoch 22	81.0	95.83	25.37	46.11	140.12
Training epoch 22	82.51	96.81	26.32	46.87	136.39
Training epoch 22	84.54	99.32	27.39	48.72	136.07
Training epoch 22	84.05	99.09	27.24	48.83	136.24
Training epoch 22	79.83	95.34	23.17	44.19	135.9
Training epoch 22	82.32	98.16	24.81	46.49	137.41
Training epoch 22	84.09	99.05	26.38	48.12	137.0
Training epoch 22	83.43	98.79	26.01	47.84	135.44
Training epoch 22	80.94	95.5	25.33	46.62	131.02
Training epoch 22	84.12	101.26	22.27	45.1	143.45
Training epoch 22	83.3	101.24	19.16	42.05	147.93
Training epoch 22	83.43	101.08	20.33	43.94	146.15
Training epoch 22	83.11	98.12	24.16	47.19	137.48
Training epoch 22	84.09	100.18	22.71	46.43	142.34
Training epoch 22	78.95	95.1	20.15	42.64	136.4
Training epoch 22	79.45	95.04	22.54	44.74	134.76
Training epoch 22	84.5	100.17	23.53	47.93	140.25
Training epoch 22	85.39	101.61	23.59	48.2	140.04
Training epoch 22	83.77	98.88	23.47	47.48	136.64
Training epoch 22	85.37	100.68	23.25	48.45	138.33
Training epoch 22	81.29	98.75	18.96	43.1	142.0
Validation epoch 22	84.59	94.56	60.58	66.87	130.19
Training epoch 23	80.4	95.44	25.37	46.17	140.23
Training epoch 23	82.44	96.99	26.32	46.96	136.13
Training epoch 23	84.43	99.36	27.39	48.66	136.11
Training epoch 23	83.75	99.62	27.24	48.7	136.37
Training epoch 23	79.52	95.25	23.17	44.13	136.2
Training epoch 23	82.35	97.66	24.81	46.59	136.85
Training epoch 23	84.22	99.68	26.38	48.2	136.45
Training epoch 23	83.87	99.13	26.01	47.83	135.32
Training epoch 23	81.03	95.49	25.33	46.67	131.17
Training epoch 23	83.96	101.45	22.27	45.08	142.55
Training epoch 23	82.72	101.06	19.16	42.15	147.65
Training epoch 23	83.96	100.61	20.33	43.79	146.45
Training epoch 23	83.12	98.6	24.16	47.05	137.34
Training epoch 23	83.78	100.37	22.71	46.3	142.35
Training epoch 23	78.79	94.64	20.15	42.68	137.51
Training epoch 23	79.25	94.64	22.54	44.82	133.62
Training epoch 23	84.3	100.54	23.53	47.57	140.13
Training epoch 23	85.69	101.78	23.59	48.28	139.87
Training epoch 23	83.49	99.41	23.47	47.77	136.05
Training epoch 23	85.39	100.55	23.25	48.41	136.67
Training epoch 23	81.33	98.9	18.96	43.16	142.27
Validation epoch 23	84.59	94.48	60.58	66.81	130.16
Training epoch 24	80.65	95.66	25.37	45.83	139.32
Training epoch 24	82.52	97.02	26.32	46.73	135.98
Training epoch 24	84.38	99.21	27.39	48.56	135.78
Training epoch 24	84.02	99.51	27.24	48.57	136.16
Training epoch 24	79.52	95.59	23.17	44.15	136.22
Training epoch 24	82.27	97.31	24.81	46.66	137.38
Training epoch 24	84.18	99.61	26.38	48.17	136.98
Training epoch 24	83.09	98.26	26.01	47.78	135.76
Training epoch 24	81.13	95.62	25.33	46.65	131.26
Training epoch 24	84.26	101.3	22.27	45.05	142.54
Training epoch 24	83.14	100.95	19.16	42.03	147.85
Training epoch 24	83.99	101.19	20.33	43.88	146.3
Training epoch 24	83.22	98.38	24.16	47.17	137.03
Training epoch 24	84.04	100.27	22.71	46.21	142.15
Training epoch 24	79.27	95.13	20.15	42.71	137.01
Training epoch 24	79.19	94.39	22.54	44.8	134.31
Training epoch 24	84.45	100.0	23.53	47.69	139.91
Training epoch 24	85.94	101.32	23.59	48.14	139.64
Training epoch 24	84.03	98.77	23.47	47.57	136.19
Training epoch 24	85.83	100.03	23.25	48.24	137.53
Training epoch 24	81.6	98.72	18.96	43.19	141.44
Validation epoch 24	84.59	94.5	60.58	66.8	130.11
Training epoch 25	80.17	95.67	25.37	46.01	139.53
Training epoch 25	82.38	96.77	26.32	46.63	136.18
Training epoch 25	84.77	99.41	27.39	48.52	136.43
Training epoch 25	83.83	99.37	27.24	48.76	136.0
Training epoch 25	79.49	95.06	23.17	44.02	136.35
Training epoch 25	82.21	97.41	24.81	46.57	136.84
Training epoch 25	83.82	99.17	26.38	48.17	136.7
Training epoch 25	83.22	98.41	26.01	47.72	135.45
Training epoch 25	80.8	96.06	25.33	46.75	131.41
Training epoch 25	83.91	100.83	22.27	45.17	142.32
Training epoch 25	83.09	100.79	19.16	42.1	147.21
Training epoch 25	83.89	100.76	20.33	43.74	145.93
Training epoch 25	83.06	98.14	24.16	47.03	136.8
Training epoch 25	84.21	100.43	22.71	46.32	141.82
Training epoch 25	79.45	95.51	20.15	42.6	137.48
Training epoch 25	79.52	94.66	22.54	44.91	134.66
Training epoch 25	84.25	99.75	23.53	47.48	139.72
Training epoch 25	85.57	101.42	23.59	48.09	140.01
Training epoch 25	83.7	99.44	23.47	47.65	136.46
Training epoch 25	85.64	100.26	23.25	48.06	137.75
Training epoch 25	81.18	98.86	18.96	43.04	141.68
Validation epoch 25	84.6	94.5	60.58	66.74	130.14
Training epoch 26	80.22	95.74	25.37	45.97	140.49
Training epoch 26	81.95	96.47	26.32	46.62	135.65
Training epoch 26	84.27	99.34	27.39	48.64	135.79
Training epoch 26	83.64	99.28	27.24	48.57	136.81
Training epoch 26	79.41	95.24	23.17	44.09	136.41
Training epoch 26	81.61	97.45	24.81	46.42	137.48
Training epoch 26	83.56	98.72	26.38	48.18	136.71
Training epoch 26	83.67	98.71	26.01	47.77	135.38
Training epoch 26	81.22	95.74	25.33	46.57	132.25
Training epoch 26	83.83	101.52	22.27	45.1	143.68
Training epoch 26	83.01	101.23	19.16	41.94	147.79
Training epoch 26	83.85	101.49	20.33	43.65	146.99
Training epoch 26	83.49	98.53	24.16	47.08	137.17
Training epoch 26	83.67	100.68	22.71	46.36	141.62
Training epoch 26	78.54	94.72	20.15	42.72	137.13
Training epoch 26	79.23	95.13	22.54	44.77	133.82
Training epoch 26	84.28	100.02	23.53	47.58	140.48
Training epoch 26	85.31	101.42	23.59	48.3	140.34
Training epoch 26	83.83	98.24	23.47	47.51	136.6
Training epoch 26	85.55	100.18	23.25	48.13	137.38
Training epoch 26	81.45	98.6	18.96	43.1	141.65
Validation epoch 26	84.6	94.51	60.58	66.74	130.15
Training epoch 27	80.57	95.75	25.37	45.86	139.96
Training epoch 27	81.79	97.19	26.32	46.81	136.0
Training epoch 27	84.46	99.13	27.39	48.42	136.33
Training epoch 27	84.04	98.99	27.24	48.51	137.24
Training epoch 27	79.39	95.64	23.17	44.07	135.72
Training epoch 27	82.17	97.78	24.81	46.69	136.54
Training epoch 27	83.99	99.22	26.38	48.07	136.99
Training epoch 27	83.5	98.93	26.01	47.81	135.19
Training epoch 27	81.17	95.98	25.33	46.61	131.93
Training epoch 27	83.83	100.9	22.27	44.8	143.12
Training epoch 27	82.91	100.61	19.16	41.83	147.73
Training epoch 27	83.53	100.88	20.33	43.65	147.06
Training epoch 27	82.82	98.57	24.16	47.2	137.1
Training epoch 27	83.39	100.18	22.71	46.03	141.5
Training epoch 27	78.73	95.14	20.15	42.58	136.87
Training epoch 27	79.54	95.28	22.54	44.79	134.47
Training epoch 27	84.44	100.36	23.53	47.69	140.48
Training epoch 27	85.53	101.56	23.59	48.17	140.09
Training epoch 27	83.44	99.13	23.47	47.53	136.76
Training epoch 27	85.46	100.56	23.25	48.09	138.09
Training epoch 27	80.99	98.71	18.96	43.27	142.21
Validation epoch 27	84.6	94.51	60.58	66.72	130.15
Training epoch 28	80.98	95.9	25.37	45.87	140.2
Training epoch 28	82.51	96.73	26.32	46.4	135.95
Training epoch 28	84.47	99.72	27.39	48.51	136.09
Training epoch 28	84.66	99.03	27.24	48.58	135.95
Training epoch 28	79.68	95.66	23.17	43.93	136.13
Training epoch 28	82.19	97.58	24.81	46.48	136.6
Training epoch 28	84.1	99.64	26.38	48.03	136.56
Training epoch 28	83.73	98.57	26.01	47.67	135.38
Training epoch 28	81.45	95.85	25.33	46.6	130.81
Training epoch 28	84.52	101.86	22.27	44.89	142.41
Training epoch 28	83.1	101.32	19.16	41.89	148.26
Training epoch 28	83.91	100.59	20.33	43.76	146.37
Training epoch 28	83.46	98.1	24.16	47.21	137.39
Training epoch 28	83.7	100.95	22.71	46.14	143.14
Training epoch 28	79.07	95.2	20.15	42.54	136.79
Training epoch 28	79.26	95.1	22.54	44.78	134.5
Training epoch 28	84.36	100.26	23.53	47.73	140.47
Training epoch 28	85.46	101.34	23.59	48.17	139.46
Training epoch 28	83.73	98.57	23.47	47.54	136.31
Training epoch 28	84.81	100.18	23.25	48.28	137.19
Training epoch 28	81.21	98.08	18.96	43.04	141.65
Validation epoch 28	84.6	94.51	60.58	66.74	130.15
Training epoch 29	80.91	95.56	25.37	45.95	140.05
Training epoch 29	82.64	96.95	26.32	46.56	136.43
Training epoch 29	84.8	99.29	27.39	48.31	136.57
Training epoch 29	84.03	99.02	27.24	48.58	137.37
Training epoch 29	79.42	95.31	23.17	43.65	135.79
Training epoch 29	82.54	98.39	24.81	46.42	136.73
Training epoch 29	84.18	99.39	26.38	47.87	137.26
Training epoch 29	83.61	98.14	26.01	47.68	135.54
Training epoch 29	80.72	95.48	25.33	46.4	131.12
Training epoch 29	84.07	101.1	22.27	44.79	142.96
Training epoch 29	82.67	100.63	19.16	41.79	148.07
Training epoch 29	83.99	100.98	20.33	43.53	146.22
Training epoch 29	82.94	98.08	24.16	46.65	137.75
Training epoch 29	83.6	100.16	22.71	46.13	142.09
Training epoch 29	78.63	95.3	20.15	42.43	137.82
Training epoch 29	79.39	94.94	22.54	44.4	133.67
Training epoch 29	84.23	100.78	23.53	47.42	139.44
Training epoch 29	85.81	101.21	23.59	47.99	138.96
Training epoch 29	83.79	98.82	23.47	47.39	136.5
Training epoch 29	85.45	100.41	23.25	47.95	137.04
Training epoch 29	81.65	98.93	18.96	43.19	141.79
Validation epoch 29	84.6	94.51	60.58	66.66	130.16
Training epoch 30	80.7	95.5	25.37	45.74	140.46
Training epoch 30	82.33	97.1	26.32	46.54	136.14
Training epoch 30	84.56	99.07	27.39	48.36	135.84
Training epoch 30	83.63	99.8	27.24	48.26	136.87
Training epoch 30	79.53	95.25	23.17	43.66	135.79
Training epoch 30	81.98	97.31	24.81	46.14	136.99
Training epoch 30	84.03	99.55	26.38	48.12	136.37
Training epoch 30	83.0	98.58	26.01	47.65	135.28
Training epoch 30	80.7	95.39	25.33	46.35	131.53
Training epoch 30	84.11	100.99	22.27	44.81	143.05
Training epoch 30	82.55	101.36	19.16	41.66	147.82
Training epoch 30	83.61	101.18	20.33	43.51	147.15
Training epoch 30	83.5	98.77	24.16	46.86	137.36
Training epoch 30	83.78	100.58	22.71	45.99	143.2
Training epoch 30	78.49	95.03	20.15	42.44	136.92
Training epoch 30	79.51	94.31	22.54	44.68	133.82
Training epoch 30	84.12	100.49	23.53	47.55	140.23
Training epoch 30	85.56	101.18	23.59	47.89	139.49
Training epoch 30	83.52	98.91	23.47	47.26	136.39
Training epoch 30	85.44	100.73	23.25	48.18	137.03
Training epoch 30	81.03	98.55	18.96	43.08	141.29
Validation epoch 30	84.6	94.51	60.58	66.68	130.16
Training epoch 31	80.81	95.88	25.37	45.88	139.62
Training epoch 31	82.35	96.96	26.32	46.54	135.76
Training epoch 31	84.25	99.54	27.39	48.36	135.71
Training epoch 31	84.19	99.67	27.24	48.36	135.81
Training epoch 31	79.86	95.64	23.17	43.73	136.32
Training epoch 31	82.42	97.75	24.81	46.48	137.35
Training epoch 31	83.75	99.55	26.38	48.01	135.91
Training epoch 31	83.22	98.84	26.01	47.56	135.78
Training epoch 31	80.9	95.95	25.33	46.38	131.64
Training epoch 31	84.17	101.41	22.27	45.06	142.75
Training epoch 31	82.9	100.8	19.16	41.82	148.42
Training epoch 31	83.91	101.09	20.33	43.59	146.46
Training epoch 31	83.3	98.3	24.16	46.99	137.58
Training epoch 31	83.96	100.7	22.71	46.02	142.67
Training epoch 31	78.79	94.92	20.15	42.4	137.81
Training epoch 31	79.3	94.67	22.54	44.51	133.87
Training epoch 31	84.5	100.16	23.53	47.35	139.56
Training epoch 31	85.7	101.18	23.59	48.16	139.61
Training epoch 31	83.66	98.73	23.47	47.42	136.09
Training epoch 31	85.1	100.24	23.25	48.14	136.72
Training epoch 31	81.22	98.51	18.96	42.97	141.77
Validation epoch 31	84.6	94.51	60.58	66.66	130.16
Training epoch 32	80.47	95.25	25.37	46.01	140.15
Training epoch 32	82.37	97.44	26.32	46.62	135.73
Training epoch 32	84.56	99.67	27.39	48.46	136.22
Training epoch 32	83.96	98.92	27.24	48.67	136.36
Training epoch 32	79.94	95.57	23.17	43.58	135.86
Training epoch 32	81.75	97.5	24.81	46.52	137.01
Training epoch 32	84.12	99.67	26.38	48.12	137.38
Training epoch 32	83.45	98.94	26.01	47.59	135.44
Training epoch 32	80.98	96.05	25.33	46.43	131.63
Training epoch 32	84.04	101.2	22.27	44.88	143.09
Training epoch 32	82.96	101.17	19.16	41.69	147.44
Training epoch 32	84.29	100.8	20.33	43.53	146.31
Training epoch 32	83.06	98.75	24.16	46.96	137.25
Training epoch 32	83.8	100.32	22.71	46.04	141.99
Training epoch 32	78.96	94.33	20.15	42.22	137.25
Training epoch 32	79.4	94.99	22.54	44.51	134.23
Training epoch 32	84.11	99.88	23.53	47.45	140.24
Training epoch 32	85.7	100.73	23.59	48.02	139.14
Training epoch 32	83.86	99.02	23.47	47.23	135.89
Training epoch 32	85.62	100.3	23.25	48.17	136.52
Training epoch 32	81.79	98.68	18.96	42.8	142.22
Validation epoch 32	84.6	94.51	60.58	66.67	130.16
Training epoch 33	80.8	95.67	25.37	45.75	139.99
Training epoch 33	82.36	97.17	26.32	46.45	136.34
Training epoch 33	84.36	99.57	27.39	48.32	136.46
Training epoch 33	84.02	99.33	27.24	48.37	136.24
Training epoch 33	79.88	95.53	23.17	43.74	135.75
Training epoch 33	82.16	97.39	24.81	46.33	136.48
Training epoch 33	83.88	99.2	26.38	48.14	136.99
Training epoch 33	83.89	98.51	26.01	47.55	135.55
Training epoch 33	80.71	95.92	25.33	46.45	131.87
Training epoch 33	83.79	101.47	22.27	44.96	143.0
Training epoch 33	82.71	100.72	19.16	41.8	148.02
Training epoch 33	83.2	101.22	20.33	43.47	145.89
Training epoch 33	83.44	98.32	24.16	46.79	137.6
Training epoch 33	83.32	100.28	22.71	45.9	141.99
Training epoch 33	78.78	95.32	20.15	42.36	136.89
Training epoch 33	79.67	94.83	22.54	44.71	135.49
Training epoch 33	84.19	99.63	23.53	47.49	140.38
Training epoch 33	85.74	101.3	23.59	47.76	139.46
Training epoch 33	83.5	99.1	23.47	47.56	136.86
Training epoch 33	85.33	100.49	23.25	47.85	137.84
Training epoch 33	81.37	98.0	18.96	42.79	140.55
Validation epoch 33	84.6	94.51	60.58	66.68	130.16
Training epoch 34	80.72	95.52	25.37	45.76	139.29
Training epoch 34	82.5	96.55	26.32	46.54	136.06
Training epoch 34	84.75	99.22	27.39	48.58	136.87
Training epoch 34	83.59	99.34	27.24	48.26	136.82
Training epoch 34	79.77	95.94	23.17	43.72	136.0
Training epoch 34	82.15	97.75	24.81	46.25	137.28
Training epoch 34	83.67	99.55	26.38	48.0	136.28
Training epoch 34	83.92	98.93	26.01	47.52	135.48
Training epoch 34	81.16	95.31	25.33	46.48	131.29
Training epoch 34	83.96	101.0	22.27	45.0	142.94
Training epoch 34	82.44	100.45	19.16	41.89	148.07
Training epoch 34	83.72	101.68	20.33	43.56	146.85
Training epoch 34	83.17	98.47	24.16	46.8	136.87
Training epoch 34	83.83	100.05	22.71	45.93	142.42
Training epoch 34	78.6	95.44	20.15	42.52	137.08
Training epoch 34	79.25	94.54	22.54	44.54	134.11
Training epoch 34	84.75	99.88	23.53	47.37	139.62
Training epoch 34	85.69	101.59	23.59	47.77	139.98
Training epoch 34	83.72	98.96	23.47	47.17	136.37
Training epoch 34	85.33	100.46	23.25	47.95	138.64
Training epoch 34	81.25	98.52	18.96	42.92	141.95
Validation epoch 34	84.6	94.51	60.58	66.68	130.16
Training epoch 35	80.44	95.54	25.37	45.91	139.57
Training epoch 35	82.22	97.26	26.32	46.54	136.09
Training epoch 35	84.71	99.8	27.39	48.32	136.27
Training epoch 35	84.08	99.83	27.24	48.37	136.49
Training epoch 35	79.83	95.42	23.17	44.03	135.92
Training epoch 35	81.82	97.44	24.81	46.46	136.62
Training epoch 35	84.07	99.49	26.38	47.99	137.04
Training epoch 35	83.65	98.68	26.01	47.49	135.84
Training epoch 35	81.35	95.99	25.33	46.5	131.77
Training epoch 35	84.44	101.7	22.27	44.97	143.2
Training epoch 35	83.09	100.59	19.16	41.78	147.62
Training epoch 35	83.53	101.12	20.33	43.71	146.89
Training epoch 35	83.51	98.6	24.16	47.05	137.15
Training epoch 35	84.04	100.58	22.71	46.21	142.42
Training epoch 35	78.87	94.88	20.15	42.24	137.15
Training epoch 35	79.24	94.89	22.54	44.62	133.64
Training epoch 35	84.01	100.23	23.53	47.2	140.15
Training epoch 35	85.45	101.49	23.59	47.79	139.77
Training epoch 35	83.94	99.06	23.47	47.34	136.43
Training epoch 35	85.4	99.94	23.25	48.15	138.07
Training epoch 35	81.37	98.36	18.96	42.87	141.53
Validation epoch 35	84.6	94.51	60.58	66.68	130.16
Training epoch 36	80.7	96.02	25.37	45.95	139.96
Training epoch 36	81.95	96.89	26.32	46.39	135.94
Training epoch 36	84.53	99.46	27.39	48.26	135.7
Training epoch 36	84.06	99.44	27.24	48.31	137.51
Training epoch 36	79.61	95.06	23.17	43.81	136.47
Training epoch 36	82.02	97.58	24.81	46.22	136.56
Training epoch 36	83.94	99.83	26.38	48.11	137.15
Training epoch 36	83.36	98.75	26.01	47.49	136.32
Training epoch 36	81.15	95.63	25.33	46.35	131.87
Training epoch 36	84.23	101.15	22.27	44.73	142.18
Training epoch 36	83.04	100.8	19.16	41.76	147.24
Training epoch 36	84.17	101.07	20.33	43.43	146.46
Training epoch 36	83.03	98.1	24.16	46.92	137.39
Training epoch 36	83.8	100.87	22.71	45.98	142.29
Training epoch 36	79.5	94.96	20.15	42.24	137.26
Training epoch 36	79.23	94.96	22.54	44.57	133.93
Training epoch 36	84.3	100.43	23.53	47.53	140.64
Training epoch 36	85.53	101.47	23.59	47.89	139.64
Training epoch 36	83.82	98.99	23.47	47.25	136.74
Training epoch 36	85.53	100.17	23.25	47.76	137.91
Training epoch 36	81.06	98.23	18.96	42.86	141.22
Validation epoch 36	84.6	94.51	60.58	66.68	130.16
Training epoch 37	80.4	95.46	25.37	45.71	140.42
Training epoch 37	82.4	96.79	26.32	46.58	135.64
Training epoch 37	84.63	99.25	27.39	48.13	137.04
Training epoch 37	83.98	99.24	27.24	48.39	137.09
Training epoch 37	79.63	94.96	23.17	43.83	136.19
Training epoch 37	82.14	98.03	24.81	46.32	136.67
Training epoch 37	83.96	99.46	26.38	48.17	137.14
Training epoch 37	83.73	98.78	26.01	47.49	136.11
Training epoch 37	81.54	95.38	25.33	46.32	131.09
Training epoch 37	84.32	101.44	22.27	44.85	143.48
Training epoch 37	82.91	101.11	19.16	41.82	148.12
Training epoch 37	83.98	101.41	20.33	43.53	146.66
Training epoch 37	83.62	98.19	24.16	47.02	137.64
Training epoch 37	83.82	100.54	22.71	45.81	142.64
Training epoch 37	78.92	94.94	20.15	42.2	137.18
Training epoch 37	79.31	94.88	22.54	44.55	135.11
Training epoch 37	84.45	100.74	23.53	47.45	139.83
Training epoch 37	85.34	101.4	23.59	47.76	139.93
Training epoch 37	84.0	99.6	23.47	47.26	135.89
Training epoch 37	85.25	100.04	23.25	47.93	137.69
Training epoch 37	80.85	98.31	18.96	42.86	141.35
Validation epoch 37	84.6	94.51	60.58	66.68	130.16
Training epoch 38	80.73	95.64	25.37	45.93	139.82
Training epoch 38	82.7	97.15	26.32	46.55	136.22
Training epoch 38	84.01	99.16	27.39	48.29	136.82
Training epoch 38	84.31	99.75	27.24	48.51	136.64
Training epoch 38	79.36	95.51	23.17	43.89	135.53
Training epoch 38	81.86	97.78	24.81	46.18	136.74
Training epoch 38	84.24	98.98	26.38	48.17	136.7
Training epoch 38	83.84	98.27	26.01	47.71	135.18
Training epoch 38	80.82	95.73	25.33	46.58	132.12
Training epoch 38	84.23	101.76	22.27	44.88	142.6
Training epoch 38	82.99	100.38	19.16	41.89	147.78
Training epoch 38	83.63	100.69	20.33	43.47	147.17
Training epoch 38	82.88	98.82	24.16	47.09	136.87
Training epoch 38	83.81	100.26	22.71	46.11	141.88
Training epoch 38	78.71	95.47	20.15	42.29	137.7
Training epoch 38	79.2	94.72	22.54	44.64	134.31
Training epoch 38	84.26	99.92	23.53	47.35	140.35
Training epoch 38	85.37	100.99	23.59	47.92	140.2
Training epoch 38	83.65	99.48	23.47	47.1	136.2
Training epoch 38	85.18	100.34	23.25	47.98	137.12
Training epoch 38	81.12	98.69	18.96	42.81	142.02
Validation epoch 38	84.6	94.51	60.58	66.68	130.16
Training epoch 39	80.57	95.88	25.37	45.82	139.34
Training epoch 39	82.63	97.29	26.32	46.45	135.89
Training epoch 39	84.57	99.61	27.39	48.21	135.64
Training epoch 39	84.12	99.23	27.24	48.25	135.88
Training epoch 39	79.84	95.69	23.17	43.95	135.94
Training epoch 39	81.92	97.47	24.81	46.46	136.94
Training epoch 39	84.03	99.44	26.38	48.12	136.76
Training epoch 39	83.55	98.33	26.01	47.47	135.61
Training epoch 39	81.11	95.57	25.33	46.49	131.56
Training epoch 39	83.6	100.82	22.27	44.81	143.34
Training epoch 39	83.08	101.1	19.16	42.03	147.85
Training epoch 39	83.13	101.49	20.33	43.47	146.91
Training epoch 39	83.36	98.1	24.16	46.75	137.93
Training epoch 39	83.89	100.26	22.71	45.91	142.27
Training epoch 39	78.95	94.74	20.15	42.39	137.31
Training epoch 39	78.99	94.86	22.54	44.61	133.66
Training epoch 39	84.17	100.37	23.53	47.36	140.29
Training epoch 39	85.64	101.57	23.59	47.74	140.03
Training epoch 39	84.09	98.75	23.47	47.38	136.53
Training epoch 39	85.46	100.15	23.25	47.86	137.48
Training epoch 39	81.27	97.99	18.96	42.92	141.98
Validation epoch 39	84.6	94.51	60.58	66.68	130.16
Training epoch 40	80.62	95.7	25.37	45.91	139.93
Training epoch 40	82.47	96.67	26.32	46.55	135.51
Training epoch 40	84.92	99.66	27.39	48.48	136.52
Training epoch 40	83.92	99.19	27.24	48.46	136.12
Training epoch 40	79.72	95.42	23.17	43.96	135.3
Training epoch 40	82.63	96.88	24.81	46.33	137.64
Training epoch 40	84.33	99.23	26.38	48.19	137.26
Training epoch 40	83.02	98.74	26.01	47.72	135.91
Training epoch 40	80.84	95.89	25.33	46.33	131.5
Training epoch 40	84.1	101.45	22.27	44.78	142.97
Training epoch 40	82.87	100.22	19.16	41.76	147.98
Training epoch 40	83.93	100.87	20.33	43.51	146.92
Training epoch 40	83.28	98.47	24.16	46.69	136.18
Training epoch 40	84.03	100.95	22.71	45.9	142.34
Training epoch 40	79.15	95.03	20.15	42.31	137.04
Training epoch 40	79.18	94.69	22.54	44.47	134.14
Training epoch 40	84.0	100.32	23.53	47.52	139.96
Training epoch 40	85.61	101.31	23.59	47.87	139.76
Training epoch 40	83.58	99.33	23.47	47.19	136.21
Training epoch 40	85.3	100.64	23.25	47.95	137.57
Training epoch 40	80.9	98.56	18.96	42.9	142.4
Validation epoch 40	84.6	94.51	60.58	66.68	130.16
Test epoch 40	80.99	90.98	56.61	62.45	131.24
